"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.182540479E2,6.502714725E1,2.548573619E1,9.941448331E0,1.303264052E0,8.489864664E1,2.488253693E0,3.000000000E0
1.192540348E2,6.502714619E1,2.548577969E1,1.042520589E1,1.511542459E0,8.882730213E1,2.510214451E0,3.000000000E0
1.202540218E2,6.502714549E1,2.548581341E1,1.050227707E1,1.358038032E0,8.923604179E1,2.490654640E0,3.000000000E0
1.212540094E2,6.502714382E1,2.548584664E1,1.027026181E1,1.310331487E0,9.077145260E1,2.467482183E0,3.049769217E0
1.222539964E2,6.502714153E1,2.548587687E1,9.444730300E0,1.158979920E0,9.135469750E1,2.461543053E0,3.000000000E0
1.232539830E2,6.502714057E1,2.548592235E1,1.044031938E1,1.411232764E0,9.152123102E1,2.438465911E0,3.000000000E0
1.242539705E2,6.502713732E1,2.548595390E1,1.060917283E1,1.346489940E0,9.716765024E1,2.416542618E0,3.000000000E0
1.252539583E2,6.502713614E1,2.548599100E1,1.038208489E1,1.424581463E0,9.401404872E1,2.395715491E0,3.000000000E0
1.262539444E2,6.502713571E1,2.548602832E1,1.092957456E1,1.379011711E0,9.237843071E1,2.426877804E0,3.006410976E0
1.272539314E2,6.502713503E1,2.548606359E1,1.105118596E1,1.466137601E0,9.013129040E1,2.479162890E0,3.000000000E0
1.282539194E2,6.502713344E1,2.548609688E1,1.108666334E1,1.368850032E0,9.025294938E1,2.535876052E0,3.125690999E0
1.292539061E2,6.502713186E1,2.548613315E1,1.103999764E1,1.336816077E0,8.856091912E1,2.555667171E0,3.000000000E0
1.302538939E2,6.502713052E1,2.548616733E1,1.155225221E1,1.343945078E0,8.829821933E1,2.531878171E0,3.000000000E0
1.312538803E2,6.502712822E1,2.548620459E1,1.152075145E1,1.375807023E0,8.693390625E1,2.540963300E0,3.000000000E0
1.322538679E2,6.502712692E1,2.548623799E1,1.163548359E1,1.376407881E0,8.779871770E1,2.526387747E0,3.000000000E0
